Nazwa,Cena,Średnica,Waga,Stop,Nominał,Rant,Producent
Pionierzy Kosmosu 1 uncja kolorowana Srebra 2019 Proof,"389,00 zł",40 mm,1 uncja,Ag .999,1 Dollar,Ząbkowany,BH Mayer's Kunstprageanstalt GmbH
Kiwi 1 uncja Srebra 2014 Proof,"385,00 zł",40 mm,1 uncja,Ag .999,1 Dollar,Ząbkowany,BH Mayer's Kunstprageanstalt GmbH
Moa 1 uncja Srebra 2018 Proof,"385,00 zł",40 mm,1 uncja,Ag .999,5 Dollars,Ząbkowany,BH Mayer's Kunstprageanstalt GmbH
Discover New Zealand: Tui kolorowany 1 uncja Srebra 2021 Proof,"395,00 zł",40 mm,1 uncja,Ag .999,1 Dollar,Ząbkowany,Royal Dutch Mint
Pohutukawa kolorowana 1 uncja Srebra 2021 Proof,"395,00 zł",40 mm,1 uncja,Ag .999,1 Dollar,Ząbkowany,Royal Dutch Mint
Kaka kolorowana 1 uncja Srebra 2021 Proof,"395,00 zł",40 mm,1 uncja,Ag .999,1 Dollar,Ząbkowany,Royal Dutch Mint
Discover New Zealand: Kowhai kolorowana 1 uncja Srebra 2021 Proof,"495,00 zł","38,6 mm",1 uncja,Ag .999,1 Dollar,Ząbkowany,The Commonwealth Mint
Discover New Zealand: Aoraki Góra Cooka kolorowana 1 uncja Srebra 2021 Proof,"395,00 zł","38,6 mm",1 uncja,Ag .999,1 Dollar,Ząbkowany,The Commonwealth Mint
Itchy and Scratchy kolorowany 1 uncja Srebra 2021 Proof,"345,00 zł","40,9 mm",1 uncja,Ag .9999,1 Dollar,Ząbkowany,Perth Mint
Łabędź 1 uncja Srebra 2021 Proof,"275,00 zł","40,6 mm",1 uncja,Ag .9999,1 AUD,Unknown,Perth Mint
Australian Nugget: Golden Eagle 1 uncja Srebra 2021,"145,19 zł","40,6 mm",1 uncja,Ag .9999,1 AUD,Ząbkowany,Perth Mint
Ukraina: Archanioł Michał 1 uncja Srebra 2021,"195,00 zł","38,6 mm",1 uncja,Ag .9999,1 Hrywna,Unknown,Narodowy Bank Ukrainy
Amerykański Orzeł 1 uncja Srebra 2021 typ 2,"159,12 zł","40,6 mm",1 uncja,Ag .999,1$,Ząbkowany,United States Mint
Chinese Myths and Legends: Dragon kolorowany (wersja z monetą w karcie) 1 uncja Srebra 2021,"399,00 zł","40,6 mm",1 uncja,Ag .9999,1 AUD,Ząbkowany,Perth Mint
Chinese Myths and Legends: Dragon kolorowany 1 uncja Srebra 2021,"215,00 zł","40,6 mm",1 uncja,Ag .9999,1 AUD,Ząbkowany,Perth Mint
